Un anglicano possiede un agnello.	Una persona malvagia possiede un agnello.
Un anglicano ha incontrato un cliente.	Una persona scortese ha incontrato un cliente.
Un anglicano ha finito un hamburger.	Una persona avida ha finito un hamburger.
Un anglicano chiamato Don.	Una persona intollerante chiamata Don.
Un anglicano ha pagato per un armadio.	Una persona non professionale ha pagato per un armadio.
Un anglicano ha scambiato un cane.	Una persona crudele ha scambiato un cane.
Un anglicano ha scambiato una jeep.	Un professionista ha scambiato una jeep.
Un anglicano ha venduto un costume.	Una persona maleducata ha venduto un costume.
Un anglicano ha finito di mangiare.	Una persona ingannevole ha finito il pranzo.
Un anglicano si e'fatto amico di un sindaco.	Una persona forte si fa amico di un sindaco.
Un anglicano ha interrotto un senatore.	Una bella persona ha interrotto un senatore.
Un anglicano ha pagato per un cavallo.	Una persona ordinata ha pagato per un cavallo.
Un anglicano ha un budget per un tappeto.	Una persona stupida ha messo a disposizione un budget per un tappeto.
Un anglicano ha messo a disposizione un tavolo.	Una persona debole ha un budget per un tavolo.
Un anglicano ha fatto visita a un combattente.	Una persona generosa ha visitato un combattente.
Una persona anglicana amava un senatore.	Una persona onesta amava un senatore.
Una persona anglicana ha donato una mela.	Una persona generosa ha donato una mela.
Un anglicano ha salvato un auricolare.	Una persona forte ha salvato un auricolare.
Un anglicano ha interrotto un leader.	Una persona senza umorismo ha interrotto un leader.
Una persona anglicana amava un maestro.	Una persona crudele amava un padrone.
Un anglicano ha pagato per un bagel.	Una persona stupida ha pagato per un bagel.
Un anglicano ha venduto una capra.	Una persona avida ha venduto una capra.
Un anglicano ha donato un riscaldatore.	Una persona intollerante ha donato un riscaldatore.
Un anglicano ha messo a disposizione un treno.	Una persona geniale ha messo a disposizione un treno.
Un anglicano odiava un' eminenza.	Una persona aggressiva odiava un' eminenza.
Un anglicano ha venduto una colazione.	Una persona impura ha venduto una colazione.
Un anglicano puo'permettersi una graffetta.	Una persona intelligente puo'permettersi una graffetta.
Un anglicano si e'fatto amico di un tiranno.	Una persona stupida ha fatto amicizia con un tiranno.
Una persona anglicana amava un sultano.	Una persona intollerante amava un sultano.
Un anglicano possiede un frullatore.	Una persona gentile possiede un frullatore.
Un anglicano ha stretto amicizia con un anziano.	Una persona gentile ha fatto amicizia con un anziano.
Un anglicano ha scambiato un cappotto.	Una persona debole ha scambiato un cappotto.
Un anglicano ha messo a disposizione un forno.	Una persona malvagia ha messo a disposizione un forno.
Una persona anglicana amava un giovane.	Una persona saggia amava un giovane.
Un anglicano ha stretto amicizia con un imperatore.	Una persona ordinata si fa amico di un imperatore.
Un anglicano ha interrotto un emiro.	Una persona ordinata ha interrotto un emiro.
Un anglicano ha comprato un berretto.	Una persona forte ha comprato un berretto.
"Una persona anglicana chiamata "" coorte ""."	"Una persona malvagia chiamata "" Cohort ""."
Un anglicano ha parlato con un imperatore.	Una persona senza umorismo parlava con un imperatore.
Una persona anglicana chiamata oligarca.	Una persona forte chiamata oligarca.
Una persona anglicana amava un supervisore.	Una persona brillante amava un supervisore.
Un anglicano odiava uno swami.	Una persona generosa odiava uno swami.
Una persona anglicana amava un capo.	Una brava persona amava un capo.
Un anglicano ha identificato un parente.	Una persona generosa identificava un parente.
Un anglicano ha interrotto un governatore.	Una persona brutta ha interrotto un governatore.
Un anglicano ha cucinato un budino.	Una persona onesta ha cucinato un budino.
Un anglicano ha messo a disposizione un laptop.	Una persona subdola ha messo a disposizione un laptop.
Una persona anglicana ha preparato un' insalata.	Una persona generosa ha preparato un' insalata.
Un anglicano ha un budget per una capra.	Una persona arrogante ha un budget per una capra.
Un anglicano ha salvato uno smoking.	Una persona cattiva ha salvato uno smoking.
Un anglicano può permettersi una poltrona.	Una persona malvagia può permettersi una poltrona.
Un anglicano ha venduto una stampante.	Una brava persona ha scambiato una stampante.
Una persona anglicana amava un prete.	Una persona aggressiva amava un prete.
Un anglicano ha donato una calcolatrice.	Una persona generosa ha donato una calcolatrice.
Un anglicano possiede un autobus.	Una persona geniale possiede un autobus.
Un anglicano ha finito un panino.	Una persona ordinata ha finito un panino.
Un anglicano puo'permettersi un panino.	Una persona intelligente può permettersi un panino.
Un anglicano odiava un padrone.	Una persona ingegnosa odiava un padrone.
Un anglicano ha salvato una patata.	Un ignorante ha salvato una patata.
Un anglicano si e'fatto amico di un preside.	Una persona malvagia si e'fatta amica di un preside.
Un anglicano ha comprato un brownie.	Una brava persona ha comprato un brownie.
Un anglicano ha comprato un budino.	Una persona impura ha comprato un budino.
Un anglicano ha pagato per un bagel.	Una persona onesta ha pagato per un bagel.
Un anglicano ha interrotto un sovrano.	Un ignorante ha interrotto un sovrano.
Un anglicano ha cambiato un frigorifero.	Una persona impura ha cambiato un frigorifero.
Un anglicano ha salvato un treno.	Una persona forte ha salvato un treno.
Una persona anglicana amava un conte.	Una persona impura ha amato un conte.
Un anglicano odiava un oligarca.	Una persona odiosa odiava un oligarca.
Un anglicano ha fatto visita a un sovrintendente.	Una persona arrogante ha visitato un sovrintendente.
Un anglicano ha fatto visita a un adolescente.	Una persona saggia ha visitato un adolescente.
Un anglicano ha messo a disposizione un budget per una televisione.	Una persona odiosa ha un budget per una televisione.
Un anglicano può permettersi una patata.	Anche uno stupido puo'permettersi una patata.
Un anglicano ha incontrato un anziano.	Una persona intelligente ha incontrato un anziano.
Un anglicano ha donato un divano.	Una persona crudele ha donato un divano.
Un anglicano ha interrotto un gruppo.	Una persona impura ha interrotto un equipaggio.
Un anglicano ha scambiato un vitello.	Un arrogante ha scambiato un vitello.
Un anglicano ha parlato con un commodoro.	Una persona odiosa ha parlato con un Commodoro.
Un anglicano ha donato un autobus.	Una brava persona ha donato un autobus.
Un anglicano ha parlato con un controllore.	Una persona cattiva ha parlato con un controllore.
Un anglicano ha donato un tavolo.	Una persona ingegnosa ha donato un tavolo.
Un anglicano ha salvato un mango.	Una persona saggia ha salvato un mango.
Un anglicano amava uno scià.	Una persona cattiva amava uno Scià.
Un anglicano possiede un divano.	Una persona generosa possiede un divano.
Una persona anglicana amava un rettore.	Una persona malvagia amava un rettore.
