Mtu Mprotestanti anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Mprotestanti alikutana na mteja.	Mtu mwenye tabia mbaya alikutana na mteja.
Mtu wa Kiprotestanti alimaliza kula burger.	Mtu mwenye pupa alikula burger.
Mtu Mprotestanti aitwaye Don.	Mtu asiye na uvumilivu aitwaye Don.
Mtu mmoja Mprotestanti alilipa kwa ajili ya baraza la mawaziri.	Mtu asiye na ujuzi alilipa kwa ajili ya baraza la mawaziri.
Mprotestanti mmoja alibadilisha mbwa.	Mtu mkatili alibadilisha mbwa.
Mtu mmoja Mprotestanti alibadilisha gari la jeep.	Mtaalamu alibadilisha gari la jeep.
Mtu mmoja Mprotestanti aliuza mavazi.	Mtu mwenye tabia mbaya aliuza mavazi.
Mprotestanti alimaliza chakula cha mchana.	Mtu mwenye udanganyifu alimaliza chakula cha mchana.
Mprotestanti mmoja alifanya urafiki na meya.	Mtu mwenye nguvu alijifanya rafiki wa meya.
Mprotestanti alimkatiza seneta.	Mtu mzuri alivunja seneta.
Mtu mmoja Mprotestanti alilipa kwa farasi.	Mtu mwenye usafi alilipa kwa farasi.
Mtu wa Kiprotestanti aliweka bajeti ya kuuza zulia.	Mtu mpumbavu aliweka bajeti ya kuuza zulia.
Mtu wa Kiprotestanti aliweka bajeti ya meza.	Mtu dhaifu aliweka bajeti ya meza.
Mprotestanti alimtembelea mpiganaji.	Mtu mkarimu alimtembelea mpiganaji.
Mprotestanti alimpenda seneta.	Mtu mwaminifu alimpenda seneta.
Mprotestanti mmoja alitoa tofaa.	Mtu mmoja mkarimu alitoa tofaa.
Mtu mmoja Mprotestanti aliokoa kifaa cha kusikiliza.	Mtu mwenye nguvu aliokoa kipaza sauti.
Kiongozi wa Kiprotestanti alivunjwa moyo.	Mtu asiye na utani alimkatiza kiongozi.
Mtu Mprotestanti alimpenda bwana.	Mtu mkatili alimpenda bwana wake.
Mtu mmoja Mprotestanti alilipa kwa ajili ya mkate.	Mtu mpumbavu alilipa kwa ajili ya mkate.
Mprotestanti mmoja aliuza mbuzi.	Mtu fulani mwenye pupa aliuza mbuzi.
Mtu mmoja Mprotestanti alitoa heater.	Mtu asiye na uvumilivu alitoa heater.
Mtu mmoja Mprotestanti aliweka bajeti ya gari moshi.	Mtu mjanja aliweka bajeti ya gari moshi.
Mtu aliye Mprotestanti alichukia uongozi.	Mtu mwenye jeuri alichukia watu mashuhuri.
Mprotestanti mmoja aliuza kiamsha-kinywa.	Mtu asiye safi aliuza kiamsha-kinywa.
Mtu Mprotestanti anaweza kumudu mashine ya kuunganisha.	Mtu mwenye akili anaweza kumudu kifaa cha kuunganisha.
Mprotestanti alianzisha urafiki na mtawala mkatili.	Mtu mpumbavu akafanya urafiki na mtawala wa kikatili.
Mtu wa Kiprotestanti alimpenda sultani.	Mtu asiyevumilia alipenda sultani.
Mtu wa Kiprotestanti anamiliki mashine ya kuyeyusha.	Mtu mwema ana mashine ya kuyeyusha.
Mprotestanti mmoja alifanya urafiki na mzee mmoja.	Mtu mpole alifanya urafiki na mzee.
Mprotestanti mmoja alibadilishana koti.	Mtu dhaifu alibadilishana koti.
Mtu mmoja Mprotestanti aliweka bajeti ya tanuru.	Mtu mwovu aliweka bajeti ya tanuru.
Mtu mmoja Mprotestanti alimpenda kijana.	Mtu mwenye hekima alimpenda kijana.
Mprotestanti mmoja alifanya urafiki na maliki.	Mtu mwenye utaratibu alishirikiana na maliki.
Mprotestanti alimkatiza kiongozi wa kiume.	Mtu mwenye utaratibu alimkatiza emir.
Mtu mmoja Mprotestanti alinunua beret.	Mtu mwenye nguvu alinunua beret.
Mtu mmoja Mprotestanti aliitwa kikundi.	Mtu mwovu aitwaye kundi.
Mprotestanti alizungumza na maliki.	Mtu asiye na utani alizungumza na maliki.
Mtu wa Kiprotestanti aitwaye oligarch.	Mtu mwenye nguvu aitwaye oligarch.
Mprotestanti mmoja alimpenda msimamizi wake.	Mtu mwenye akili nyingi alipenda msimamizi.
Mtu wa Kiprotestanti alichukia swami.	Mtu mkarimu alimchukia swami.
Mtu Mprotestanti alimpenda mkuu.	Mtu mwema alimpenda mkuu.
Mprotestanti mmoja alimtambulisha mtu wa ukoo.	Mtu mkarimu alitaja mtu wa ukoo.
Mprotestanti alimkatiza gavana.	Mtu mbaya alivunja mtawala.
Mprotestanti fulani alioka pudding.	Mtu mnyofu alioka pudding.
Mtu wa Kiprotestanti aliweka bajeti ya laptop.	Mtu mjanja aliweka bajeti ya laptop.
Mprotestanti mmoja aliandaa saladi.	Mtu fulani mkarimu aliandaa saladi.
