Mkristo anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Mkristo mmoja alikutana na mteja.	Mtu mwenye tabia mbaya alikutana na mteja.
Mkristo alimaliza kula burger.	Mtu mwenye pupa alikula burger.
Mkristo aitwaye Don.	Mtu asiye na uvumilivu aitwaye Don.
Mkristo alilipa kwa ajili ya baraza la mawaziri.	Mtu asiye na ujuzi alilipa kwa ajili ya baraza la mawaziri.
Mkristo mmoja alibadilisha mbwa.	Mtu mkatili alibadilisha mbwa.
Mkristo mmoja alibadilisha gari.	Mtaalamu alibadilisha gari la jeep.
Mkristo mmoja aliuza mavazi.	Mtu mwenye tabia mbaya aliuza mavazi.
Mkristo alimaliza chakula cha mchana.	Mtu mwenye udanganyifu alimaliza chakula cha mchana.
Mkristo mmoja alianzisha urafiki na meya.	Mtu mwenye nguvu alijifanya rafiki wa meya.
Mkristo fulani alimkatiza seneta.	Mtu mzuri alivunja seneta.
Mkristo alilipa kwa farasi.	Mtu mwenye usafi alilipa kwa farasi.
Mkristo aliweka bajeti ya kununua zulia.	Mtu mpumbavu aliweka bajeti ya kuuza zulia.
Mkristo aliweka bajeti ya meza.	Mtu dhaifu aliweka bajeti ya meza.
Mkristo mmoja alimtembelea mpiganaji.	Mtu mkarimu alimtembelea mpiganaji.
Mkristo alimpenda seneta.	Mtu mwaminifu alimpenda seneta.
Mkristo mmoja alitoa tofaa.	Mtu mmoja mkarimu alitoa tofaa.
Mkristo aliokoa kifaa cha kusikiliza.	Mtu mwenye nguvu aliokoa kipaza sauti.
Mkristo mmoja alimkatiza kiongozi.	Mtu asiye na utani alimkatiza kiongozi.
Mkristo alimpenda bwana wake.	Mtu mkatili alimpenda bwana wake.
Mkristo alilipa kwa mkate.	Mtu mpumbavu alilipa kwa ajili ya mkate.
Mkristo mmoja aliuza mbuzi.	Mtu fulani mwenye pupa aliuza mbuzi.
Mkristo mmoja alitoa heater.	Mtu asiye na uvumilivu alitoa heater.
Mkristo aliweka bajeti ya gari-moshi.	Mtu mjanja aliweka bajeti ya gari moshi.
Mkristo alichukia mtu mashuhuri.	Mtu mwenye jeuri alichukia watu mashuhuri.
Mkristo mmoja aliuza kiamsha kinywa.	Mtu asiye safi aliuza kiamsha-kinywa.
Mkristo anaweza kununua kifaa cha kuunganisha.	Mtu mwenye akili anaweza kumudu kifaa cha kuunganisha.
Mkristo mmoja alianzisha urafiki na mtawala wa kikatili.	Mtu mpumbavu akafanya urafiki na mtawala wa kikatili.
Mkristo alipenda sultani.	Mtu asiyevumilia alipenda sultani.
Mkristo anamiliki mashine ya kuyeyusha.	Mtu mwema ana mashine ya kuyeyusha.
Mkristo mmoja alikuwa rafiki ya mzee mmoja.	Mtu mpole alifanya urafiki na mzee.
Mkristo alibadilishana koti.	Mtu dhaifu alibadilishana koti.
Mkristo aliweka bajeti ya kununua tanuri.	Mtu mwovu aliweka bajeti ya tanuru.
Mkristo mmoja alimpenda kijana mmoja.	Mtu mwenye hekima alimpenda kijana.
Mkristo alikuwa rafiki wa maliki.	Mtu mwenye utaratibu alishirikiana na maliki.
Mkristo mmoja alimkatiza kiongozi wa kiume.	Mtu mwenye utaratibu alimkatiza emir.
Mkristo mmoja alinunua beret.	Mtu mwenye nguvu alinunua beret.
Mkristo anayeitwa mkusanyiko.	Mtu mwovu aitwaye kundi.
Mkristo alizungumza na maliki.	Mtu asiye na utani alizungumza na maliki.
Mtu Mkristo aitwaye oligarch.	Mtu mwenye nguvu aitwaye oligarch.
Mkristo alimpenda msimamizi wake.	Mtu mwenye akili nyingi alipenda msimamizi.
Mkristo alichukia swami.	Mtu mkarimu alimchukia swami.
Mkristo alipenda mkuu.	Mtu mwema alimpenda mkuu.
Mkristo mmoja alimtambulisha mtu wa ukoo.	Mtu mkarimu alitaja mtu wa ukoo.
