aabid	abida
aadesh	aayesha
aadil	anadi
aadish	hadisha
aaditya	aditya
aaenab	aamna
aaftaab	atta
aaftab	lata
aagad	aaradhana
aagand	gagan
aahim	aashi
aajad	faaija
aajiv	anaji
aakar	akbari
aakas	akash
aakash	aakanksha
aakib	abhaki
aakil	bakila
aalam	alam
aamil	aamina
aamin	aamrin
aamir	aasmin
aamod	paramdeep
aamosh	paramshela
aanad	aanya
aanand	nand
aanil	anil
aansu	aasu
aaqif	aarif
aarav	ajara
aarif	aarifa
aariv	aarti
aarti	aarati
aas	aasha
aash	aashia
aasha	aashma
aashif	aarushi
aashik	aashiya
aashis	ashish
aashish	kashish
aashu	aashu
aasif	aansi
aasim	aasma
aasish	kasish
aasto	aastha
aatam	mamata
aatif	arati
aatir	taravaati
aavesh	parvesh
aayush	aaysha
aazad	shahzadi
abbal	sabba
abbas	tabbasum
abdul	hasbul
abdulla	lila
abdullah	hasibullah
abhash	abha
abhay	bhagay
abhaysingh	hasina
abhi	abhilasha
abhijeet	bhim
abhijit	hini
abhilash	kailash
abhimanu	anu
abhimanyu	ashima
abhinandan	hina
abhinash	asha
abhinav	albina
abhinay	rabina
abhinwav	avi
abhiraj	hira
abhisek	mahi
abhisekh	shekh
abhishak	isha
abhishek	aishe
abhishekh	ishu
abhishiek	ishika
abhishik	shika
abid	ajnabi
abishak	aisha
abishek	alis
abrar	shabra
abu	khushabu
abul	pabu
achin	sachi
adalat	daulat
adan	chnada
adarsh	darkash
adersen	rena
adesh	aesha
adhish	mahvish
adi	adiba
adil	dilshadi
adisan	san
aditi	aditi
aditiya	diti
aditya	sadiya
adityalok	dibya
adnan	anandi
adrash	asho
aejaz	ajan
affan	afarin
afjal	ajmal
afridi	afrin
afsar	afsari
afshar	afsha
aftab	gulshafa
afzaj	fiza
afzal	kazal
agrej	kumarage
agyapad	daya
ahamad	alhamdi
ahmad	ashma
ahmed	mahender
ahsan	ahsamin
ahupendra	bhupendri
aidtya	alita
aijay	ajay
ajab	farhaja
ajad	sahaja
ajahar	har
ajaj	ajju
ajay	anjaly
ajaypal	jaya
ajeem	fareem
ajeet	endrajeet
ajim	ajima
ajit	ajmit
ajman	aman
ajmer	ajmeri
akaash	akansha
akansh	parkash
akash	meenakashi
akashya	ashiya
akbar	godambari
akeel	shakeela
akhalak	chandrakala
akheelesh	akhilesh
akhil	rakhila
akhilesh	iesha
akhileshwer	nilesh
akhlakh	kala
akhlaq	alkha
akhlesh	alkesh
akhlish	alish
akhtar	akhtari
akib	janaki
akif	kailaki
akil	sakila
akilesh	aleesha
akkash	ashu
akkni	rakki
akram	akram
akshat	raksha
akshay	akshita
akshit	sakshi
akshpaat	kesha
aktab	ankita
alam	salama
alamin	almina
alaudin	udi
albaksha	shma
ali	ali
alijan	amijan
alikhan	alisha
alim	dalima
allabaksh	kalla
allaraji	raj
allauddin	guddi
alok	alka
altab	lta
altaf	lalita
altmash	alma
aluddin	faimuddin
aman	amandeep
amandeep	mandeep
amar	amar
amarapal	manormapal
amarchand	archan
amardeep	deepa
amarendra	amarin
amarjeet	amanjeet
amarjit	amarjit
amarnath	nathi
amart	namarta
amarvesh	sarvesh
amba	amba
ameen	amreen
ameer	ameera
amil	jamila
amin	damini
amina	amina
amir	amiraka
amiri	amri
amit	mamita
amjad	ramjas
amjat	amrat
amkit	amita
amlesh	kamlesh
ammar	amari
amol	chhamo
amot	samoti
amratalal	lal
amreek	amreeta
amrik	amrik
amrika	ambika
amrish	amisha
amrit	amrit
amritpal	amrita
amrjeet	kamjeet
amrudin	amrin
amuchla	ramu
amzad	samsad
anamol	anam
anand	anandwati
anandi	nandi
anandu	nandu
anantram	anara
anash	anshu
anchal	anchal
andhav	sandha
angad	ganga
angan	kangana
angda	manda
angreg	anguri
anikesh	anisha
aniket	ankeet
anikt	aanik
anil	anjila
animesh	manish
anirudh	niru
anish	manisha
anita	anita
anjali	anjali
anjan	anjana
anjani	anjani
anjeev	sanjeev
anjrej	ajra
anjum	anjum
ankaj	pankaj
ankala	mangala
ankesh	ganeshi
ankit	ankit
ankur	mankuri
ankus	kanku
ankush	anushka
anli	manlisa
anmol	anno
annat	jannat
annu	annu
anoj	manoj
anokha	anekha
anooj	noojo
anoop	anoopama
ansal	anjal
ansar	anaro
ansh	anshika
anshu	anshul
anshul	priyanshu
anshum	kashum
anshuman	huma
ansu	ansu
ansul	farjanul
anubhav	manbhar
anuj	manuja
anup	anupam
anupam	anupama
anurag	anoura
anuraj	raja
anurudh	anuradha
anvar	anjara
anwar	anwari
anwari	bhanwari
aoosaf	aasa
aphasana	aphsana
arab	sarabjit
arajun	raju
araslan	arshla
aravind	ravinda
arbaj	ariba
arbaz	arbana
archna	archna
arfan	arifa
arham	farha
arhiyant	arshi
arif	aarifun
arindom	oma
arindra	harvindra
arjun	aarju
armaan	maan
arman	amana
arnab	arpna
arnabjit	paramjit
arpit	harprit
arsad	barsa
arsh	darshan
arshad	harsha
arti	arti
aru	aruna
arun	karuna
arunkumar	kum
arvind	parvinder
aryan	paryanka
asagar	asgari
asarfi	safia
asfak	asma
asfaq	sifa
asgar	asharani
asha	ashanjali
ashad	ashra
